CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,CAMP_ALLD,CAMP_ALLR_GRAD,CAMP_HSD,CAMP_HSR_GRAD,CAMP_ECND,CAMP_ECNN_GRAD,CAMP_NECND,CAMP_NECNN_GRAD,REGION_TYPE,PREPATORY
001902001,Cayuga H S,001902,Cayuga ISD,001,Anderson County,07,Kilgore,39,97,0,0,14,13,25,25,1,1
001903001,Elkhart H S,001903,Elkhart ISD,001,Anderson County,07,Kilgore,90,98,10,100,37,36,53,52,1,1
001904001,Frankston H S,001904,Frankston ISD,001,Anderson County,07,Kilgore,51,98,5,100,20,19,31,31,1,1
001906002,Neches H S,001906,Neches ISD,001,Anderson County,07,Kilgore,33,97,5,100,10,10,23,22,1,1
001907001,Palestine H S,001907,Palestine ISD,001,Anderson County,07,Kilgore,231,97,102,99,146,141,85,84,1,1
001908002,Westwood H S,001908,Westwood ISD,001,Anderson County,07,Kilgore,100,97,18,100,52,49,48,48,1,1
001909001,Slocum H S,001909,Slocum ISD,001,Anderson County,07,Kilgore,27,96,0,0,12,12,15,14,1,1
002901001,Andrews H S,002901,Andrews ISD,002,Andrews County,18,Midland,223,97,155,97,83,79,140,138,1,1
002901002,Andrews Education Center,002901,Andrews ISD,002,Andrews County,18,Midland,33,67,18,50,21,15,12,7,1,1
003801001,Pineywoods Community Academy H S,003801,Pineywoods Community Academy,003,Angelina County,07,Kilgore,57,100,9,100,26,26,31,31,1,1
003902001,Hudson H S,003902,Hudson ISD,003,Angelina County,07,Kilgore,196,95,44,93,83,77,113,110,1,1
003902004,Stubblefield Lrn Ctr,003902,Hudson ISD,003,Angelina County,07,Kilgore,10,70,0,0,0,0,0,0,1,1
003903001,Lufkin H S,003903,Lufkin ISD,003,Angelina County,07,Kilgore,482,97,208,99,378,367,104,102,1,1
003903004,Stubblefield Lrn Ctr,003903,Lufkin ISD,003,Angelina County,07,Kilgore,41,44,12,17,32,15,9,3,1,1
003904001,Huntington H S,003904,Huntington ISD,003,Angelina County,07,Kilgore,114,97,14,100,46,44,68,66,1,1
003904005,Pride Alter Sch,003904,Huntington ISD,003,Angelina County,07,Kilgore,18,83,0,0,13,11,5,4,1,1
003905001,Diboll H S,003905,Diboll ISD,003,Angelina County,07,Kilgore,130,97,78,96,130,126,0,0,1,1
003905004,Stubblefield Lrn Ctr,003905,Diboll ISD,003,Angelina County,07,Kilgore,12,67,0,0,0,0,12,8,1,1
003906001,Zavalla H S,003906,Zavalla ISD,003,Angelina County,07,Kilgore,29,97,0,0,17,17,12,11,1,1
003907001,Central H S,003907,Central ISD,003,Angelina County,07,Kilgore,94,100,12,100,36,36,58,58,1,1
003907004,Stubblefield Lrn Ctr,003907,Central ISD,003,Angelina County,07,Kilgore,8,63,0,NA,0,0,0,0,1,1
004901001,Rockport-Fulton H S,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,225,92,92,88,129,115,96,91,1,1
005901001,Archer City H S,005901,Archer City ISD,005,Archer County,09,Wichita Falls,34,100,0,0,6,6,28,28,1,1
005902001,Holliday H S,005902,Holliday ISD,005,Archer County,09,Wichita Falls,80,99,0,100,13,13,67,66,1,1
005904001,Windthorst H S,005904,Windthorst ISD,005,Archer County,09,Wichita Falls,32,100,8,100,7,7,25,25,1,1
006902001,Claude Schools,006902,Claude ISD,006,Armstrong County,16,Amarillo,21,95,0,0,5,4,16,16,1,1
007901001,Charlotte H S,007901,Charlotte ISD,007,Atascosa County,20,San Antonio,42,98,36,97,29,28,13,13,2,1
007902001,Jourdanton H S,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,120,96,72,94,64,61,56,54,2,1
007904001,Lytle H S,007904,Lytle ISD,007,Atascosa County,20,San Antonio,107,94,89,93,78,71,29,29,2,1
007905001,Pleasanton H S,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,227,98,157,98,124,120,103,102,2,1
007905005,Pleasanton ISD School Of Choice,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,19,90,11,91,11,9,8,8,2,1
007906001,Poteet H S,007906,Poteet ISD,007,Atascosa County,20,San Antonio,109,95,91,96,74,70,35,34,2,1
008901001,Bellville H S,008901,Bellville ISD,008,Austin County,06,Huntsville,168,98,49,98,61,57,107,107,1,1
008902001,Sealy H S,008902,Sealy ISD,008,Austin County,06,Huntsville,195,96,90,97,94,90,101,98,1,1
008903001,Brazos H S,008903,Brazos ISD,008,Austin County,06,Huntsville,69,100,34,100,37,37,32,32,1,1
009901001,Muleshoe H S,009901,Muleshoe ISD,009,Bailey County,17,Lubbock,75,100,65,100,61,61,14,14,1,1
010901001,Medina School,010901,Medina ISD,010,Bandera County,20,San Antonio,20,95,0,0,13,12,7,7,2,1
010902001,Bandera H S,010902,Bandera ISD,010,Bandera County,20,San Antonio,158,87,55,93,52,44,106,94,2,1
011901001,Bastrop H S,011901,Bastrop ISD,011,Bastrop County,13,Austin,289,97,142,99,158,154,131,127,2,1
011901002,Cedar Creek H S,011901,Bastrop ISD,011,Bastrop County,13,Austin,351,97,269,97,222,216,129,125,2,1
011901005,Colorado River Collegiate Academy,011901,Bastrop ISD,011,Bastrop County,13,Austin,44,100,33,100,24,24,20,20,2,1
011901022,Genesis H S,011901,Bastrop ISD,011,Bastrop County,13,Austin,152,81,100,81,116,89,36,34,2,1
011902001,Elgin H S,011902,Elgin ISD,011,Bastrop County,13,Austin,307,94,201,94,203,186,104,101,2,1
011902004,Phoenix H S,011902,Elgin ISD,011,Bastrop County,13,Austin,31,39,16,19,24,8,7,4,2,1
011904002,Smithville H S,011904,Smithville ISD,011,Bastrop County,13,Austin,126,92,49,90,67,63,59,53,2,1
012901001,Seymour H S,012901,Seymour ISD,012,Baylor County,09,Wichita Falls,35,100,0,100,19,19,16,16,1,1
013901001,A C Jones H S,013901,Beeville ISD,013,Bee County,02,Corpus Christi,250,94,202,93,206,195,44,40,1,1
013903001,Pettus Secondary,013903,Pettus ISD,013,Bee County,02,Corpus Christi,37,92,22,96,29,27,8,7,1,1
013905001,Skidmore-Tynan H S,013905,Skidmore-Tynan ISD,013,Bee County,02,Corpus Christi,69,94,49,94,41,38,28,27,1,1
014801001,Richard Milburn Alter H S (Killeen,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,121,25,34,29,97,24,24,6,2,1
014801002,Richard Milburn Academy Odessa,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,244,22,181,19,121,19,123,34,2,1
014801004,Richard Milburn Academy Lubbock,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,77,25,51,20,62,13,15,6,2,1
014801005,Richard Milburn Academy Houston (S,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,151,21,104,16,122,30,29,1,2,1
014801006,Richard Milburn Academy Fort Worth,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,111,20,50,16,94,18,17,4,2,1
014801007,Richard Milburn Academy Corpus Chr,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,150,35,121,34,112,41,38,12,2,1
014801008,Richard Milburn Academy Amarillo,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,117,34,58,31,94,32,23,8,2,1
014801009,Richard Milburn Academy Pasadena,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,116,19,105,19,106,22,10,0,2,1
014801010,Richard Milburn Academy Midland So,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,71,9,53,9,49,2,22,4,2,1
014803003,Cove Charter Academy,014803,Priority Charter Schools,014,Bell County,12,Waco,9,100,0,0,0,0,0,0,1,1
014803004,Cedar Park Charter Academy,014803,Priority Charter Schools,014,Bell County,12,Waco,0,0,0,NA,0,0,0,0,1,1
014803101,Temple Charter Academy,014803,Priority Charter Schools,014,Bell County,12,Waco,0,0,0,0,0,0,0,0,1,1
014804005,Gateway Tech H S,014804,Orenda Charter School,014,Bell County,12,Waco,26,65,0,57,0,0,0,0,1,1
014804006,Gateway College Preparatory School,014804,Orenda Charter School,014,Bell County,12,Waco,60,100,11,100,0,0,0,0,1,2
014901001,Academy H S,014901,Academy ISD,014,Bell County,12,Waco,120,88,28,79,36,31,84,75,1,1
014902001,Bartlett Schools,014902,Bartlett ISD,014,Bell County,13,Austin,23,91,14,86,0,0,0,0,2,1
014903001,Belton H S,014903,Belton ISD,014,Bell County,12,Waco,750,91,255,91,339,289,411,392,1,1
014905001,Holland H S,014905,Holland ISD,014,Bell County,12,Waco,55,100,0,100,27,27,28,28,1,1
014906001,Killeen H S,014906,Killeen ISD,014,Bell County,12,Waco,447,92,128,91,273,251,174,160,1,1
014906002,C E Ellison H S,014906,Killeen ISD,014,Bell County,12,Waco,593,93,161,96,259,229,334,321,1,1
014906006,Pathways Academic Campus,014906,Killeen ISD,014,Bell County,12,Waco,287,72,87,69,184,142,103,64,1,1
014906007,Harker Heights H S,014906,Killeen ISD,014,Bell County,12,Waco,587,94,170,93,181,163,406,391,1,1
014906008,Robert M Shoemaker H S,014906,Killeen ISD,014,Bell County,12,Waco,455,90,135,90,248,213,207,194,1,1
014907001,Rogers H S,014907,Rogers ISD,014,Bell County,12,Waco,65,97,16,94,31,29,34,34,1,1
014908001,Salado H S,014908,Salado ISD,014,Bell County,12,Waco,150,99,27,96,21,19,129,129,1,1
014909002,Temple H S,014909,Temple ISD,014,Bell County,12,Waco,515,92,235,92,311,282,204,192,1,1
014909008,Fred W Edwards Academy Aec,014909,Temple ISD,014,Bell County,12,Waco,101,62,46,63,67,42,34,21,1,1
014910001,Troy H S,014910,Troy ISD,014,Bell County,12,Waco,112,99,24,100,45,44,67,67,1,1
015801001,Por Vida Academy Charter H S,015801,Por Vida Academy,015,Bexar County,20,San Antonio,103,57,0,57,0,0,0,0,2,1
015801002,Corpus Christi College Prep H S,015801,Por Vida Academy,015,Bexar County,20,San Antonio,13,77,0,75,6,5,7,5,2,2
015802001,George Gervin Academy,015802,George Gervin Academy,015,Bexar County,20,San Antonio,13,100,7,100,13,13,0,0,2,1
015802004,Ruth Jones McClendon Middle,015802,George Gervin Academy,015,Bexar County,20,San Antonio,9,89,0,80,9,8,0,0,2,1
015805001,Frank L Madla Early College H S,015805,New Frontiers Public Schools Inc,015,Bexar County,20,San Antonio,63,100,0,100,47,47,16,16,2,1
015806003,Milton B Lee Academy Of Science &,015806,School Of Excellence In Education,015,Bexar County,20,San Antonio,20,95,14,93,15,14,5,5,2,1
015807002,Southwest Preparatory Southeast Ca,015807,Southwest Preparatory School,015,Bexar County,20,San Antonio,14,93,0,100,14,13,0,0,2,2
015807004,Southwest Preparatory School-North,015807,Southwest Preparatory School,015,Bexar County,20,San Antonio,28,79,0,82,21,17,7,5,2,2
015807005,New Directions,015807,Southwest Preparatory School,015,Bexar County,20,San Antonio,19,84,13,77,13,11,6,5,2,1
015814001,Positive Solutions Charter,015814,Positive Solutions Charter School,015,Bexar County,20,San Antonio,77,31,70,30,66,21,11,3,2,1
015815041,Heritage Academy Of Del Rio,015815,Heritage Academy,015,Bexar County,20,San Antonio,28,96,0,96,13,13,15,14,2,1
015822001,Jubilee San Antonio,015822,Jubilee Academies,015,Bexar County,20,San Antonio,73,93,59,93,57,53,16,15,2,1
015822010,Jubilee Brownsville,015822,Jubilee Academies,015,Bexar County,20,San Antonio,60,95,0,95,51,50,9,7,2,1
015827001,School Of Science And Technology,015827,School Of Science And Technology,015,Bexar County,20,San Antonio,73,95,41,95,38,37,35,32,2,1
015828001,Harmony Science Acad (San Antonio),015828,Harmony Science Acad (San Antonio),015,Bexar County,20,San Antonio,86,98,62,97,67,65,19,19,2,1
015830001,Brooks Academy Of Science And Engi,015830,Brooks Academies Of Texas,015,Bexar County,20,San Antonio,101,97,90,99,59,57,42,41,2,1
015831002,School Of Science And Technology C,015831,School Of Science And Technology D,015,Bexar County,20,San Antonio,18,100,13,100,11,11,7,7,2,1
015833001,Henry Ford Academy Alameda School,015833,Henry Ford Academy Alameda School,015,Bexar County,20,San Antonio,30,93,28,93,14,13,16,15,2,1
015834001,Basis San Antonio- Shavano Campus,015834,Basis Texas,015,Bexar County,20,San Antonio,78,100,26,100,6,6,72,72,2,1
015835002,Great Hearts Monte Vista North,015835,Great Hearts Texas,015,Bexar County,20,San Antonio,43,100,0,100,11,11,32,32,2,1
015901001,Alamo Heights H S,015901,Alamo Heights ISD,015,Bexar County,20,San Antonio,414,97,159,96,73,68,341,334,2,1
015904001,Harlandale H S,015904,Harlandale ISD,015,Bexar County,20,San Antonio,405,95,398,96,354,337,51,49,2,1
015904002,McCollum H S,015904,Harlandale ISD,015,Bexar County,20,San Antonio,355,96,342,96,282,269,73,70,2,1
015904004,Frank M Tejeda Academy,015904,Harlandale ISD,015,Bexar County,20,San Antonio,122,70,0,69,116,81,6,4,2,1
015904010,Fenley Transitional H S,015904,Harlandale ISD,015,Bexar County,20,San Antonio,0,0,0,0,0,0,0,0,2,1
015904011,Harlandale ISD Stem Echs-Alamo Col,015904,Harlandale ISD,015,Bexar County,20,San Antonio,74,100,72,100,50,50,24,24,2,1
015904115,Jewel C Wietzel Center,015904,Harlandale ISD,015,Bexar County,20,San Antonio,0,0,0,0,0,0,0,0,2,1
015905002,John F Kennedy H S,015905,Edgewood ISD,015,Bexar County,20,San Antonio,245,87,238,88,227,197,18,16,2,1
015905003,Memorial H S,015905,Edgewood ISD,015,Bexar County,20,San Antonio,314,80,301,80,265,207,49,44,2,1
015906001,Randolph H S,015906,Randolph Field ISD,015,Bexar County,20,San Antonio,118,98,28,100,7,6,111,110,2,1
015907001,Brackenridge H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,341,93,326,93,285,262,56,55,2,1
015907002,Burbank H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,279,94,276,94,233,217,46,44,2,1
015907003,Edison H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,327,93,311,93,294,277,33,28,2,1
015907004,Fox Technical H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,86,100,82,100,70,70,16,16,2,1
015907005,Highlands H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,342,89,313,90,301,266,41,39,2,1
015907006,Houston H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,245,73,142,69,221,158,24,21,2,1
015907007,Jefferson H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,355,92,339,92,299,272,56,53,2,1
015907008,Lanier H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,364,85,355,86,340,291,24,20,2,1
015907022,Travis Early College H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,92,100,89,100,69,69,23,23,2,1
015907023,Young Women's Leadership Academy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,49,100,46,100,19,19,30,30,2,1
015907024,Cooper Academy At Navarro,015907,San Antonio ISD,015,Bexar County,20,San Antonio,201,41,177,40,179,70,22,12,2,1
015907025,St Philip's College Early College,015907,San Antonio ISD,015,Bexar County,20,San Antonio,49,100,40,100,38,38,11,11,2,1
015907064,Brewer Academy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,0,0,0,0,0,0,0,0,2,1
015907182,Healy-Murphy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,84,32,72,33,78,27,6,0,2,1
015907195,Juvenile Detent Ctr,015907,San Antonio ISD,015,Bexar County,20,San Antonio,0,0,0,0,0,0,0,0,2,1
015908001,South San Antonio H S,015908,South San Antonio ISD,015,Bexar County,20,San Antonio,610,84,588,85,508,423,102,91,2,1
015909001,Somerset H S,015909,Somerset ISD,015,Bexar County,20,San Antonio,278,88,248,88,221,189,57,55,2,1
015909006,Shirleen Zacharias Early Clge Lead,015909,Somerset ISD,015,Bexar County,20,San Antonio,20,100,17,100,15,15,5,5,2,1
015910001,Legacy Of Educational Excellence H,015910,North East ISD,015,Bexar County,20,San Antonio,701,85,546,85,452,377,249,220,2,1
015910002,Macarthur H S,015910,North East ISD,015,Bexar County,20,San Antonio,591,91,359,91,285,249,306,287,2,1
015910003,Churchill H S,015910,North East ISD,015,Bexar County,20,San Antonio,640,92,386,93,220,197,420,394,2,1
015910004,Roosevelt H S,015910,North East ISD,015,Bexar County,20,San Antonio,701,85,430,86,456,380,245,216,2,1
015910005,Madison H S,015910,North East ISD,015,Bexar County,20,San Antonio,763,94,473,92,321,291,442,424,2,1
015910007,Reagan H S,015910,North East ISD,015,Bexar County,20,San Antonio,822,97,349,95,93,86,729,708,2,1
015910008,Academy Of Creative Ed,015910,North East ISD,015,Bexar County,20,San Antonio,156,63,100,61,67,36,89,62,2,1
015910009,International School Of America,015910,North East ISD,015,Bexar County,20,San Antonio,120,99,67,100,34,33,86,86,2,1
015910014,Johnson H S,015910,North East ISD,015,Bexar County,20,San Antonio,745,97,345,98,137,128,608,598,2,1
015910054,Homebased Comp Ed,015910,North East ISD,015,Bexar County,20,San Antonio,0,0,0,0,0,0,0,0,2,1
015911001,East Central H S,015911,East Central ISD,015,Bexar County,20,San Antonio,771,93,542,93,458,426,313,290,2,1
015911005,Bexar County Lrn Ctr,015911,East Central ISD,015,Bexar County,20,San Antonio,0,0,0,0,0,0,0,0,2,1
015912001,Southwest H S,015912,Southwest ISD,015,Bexar County,20,San Antonio,467,94,419,95,344,325,123,115,2,1
015913001,Virginia Allred Stacey Jr/Sr H S,015913,Lackland ISD,015,Bexar County,20,San Antonio,39,100,10,100,5,5,34,34,2,1
015914001,Robert G Cole Middle/High School,015914,Ft Sam Houston ISD,015,Bexar County,20,San Antonio,94,99,44,100,28,28,66,65,2,1
015915001,Holmes H S,015915,Northside ISD,015,Bexar County,20,San Antonio,655,95,560,96,479,450,176,174,2,1
015915002,Jay H S,015915,Northside ISD,015,Bexar County,20,San Antonio,733,84,634,83,353,260,380,356,2,1
015915003,Marshall H S,015915,Northside ISD,015,Bexar County,20,San Antonio,564,91,384,93,252,224,312,291,2,1
015915004,Holmgreen Center,015915,Northside ISD,015,Bexar County,20,San Antonio,0,0,0,0,0,0,0,0,2,1
015915005,Clark H S,015915,Northside ISD,015,Bexar County,20,San Antonio,664,95,384,95,205,182,459,450,2,1
015915006,Health Careers H S,015915,Northside ISD,015,Bexar County,20,San Antonio,184,100,88,100,40,40,144,144,2,1
015915007,Taft H S,015915,Northside ISD,015,Bexar County,20,San Antonio,520,98,329,98,181,174,339,333,2,1
015915011,Chavez Excel Academy,015915,Northside ISD,015,Bexar County,20,San Antonio,210,85,145,83,69,61,141,117,2,1
015915013,Reddix Center,015915,Northside ISD,015,Bexar County,20,San Antonio,21,0,12,0,7,0,14,0,2,1
015915016,O'Connor H S,015915,Northside ISD,015,Bexar County,20,San Antonio,834,97,487,97,163,152,671,658,2,1
015915019,Warren H S,015915,Northside ISD,015,Bexar County,20,San Antonio,735,96,564,95,291,272,444,431,2,1
015915022,Stevens H S,015915,Northside ISD,015,Bexar County,20,San Antonio,644,90,524,90,298,261,346,321,2,1
015915023,Brandeis H S,015915,Northside ISD,015,Bexar County,20,San Antonio,631,97,331,96,137,125,494,484,2,1
015915024,Brennan H S,015915,Northside ISD,015,Bexar County,20,San Antonio,662,99,368,99,212,210,450,448,2,1
015916001,Judson H S,015916,Judson ISD,015,Bexar County,20,San Antonio,656,89,350,91,366,323,290,263,2,1
015916003,Judson Learning Acad,015916,Judson ISD,015,Bexar County,20,San Antonio,80,73,39,74,50,37,30,21,2,1
015916008,Karen Wagner H S,015916,Judson ISD,015,Bexar County,20,San Antonio,537,83,316,82,398,335,139,111,2,1
015916009,Judson Early College Academy,015916,Judson ISD,015,Bexar County,20,San Antonio,98,100,56,100,49,49,49,49,2,1
015916010,Veterans Memorial H S,015916,Judson ISD,015,Bexar County,20,San Antonio,343,92,183,94,168,155,175,161,2,1
015917001,Southside H S,015917,Southside ISD,015,Bexar County,20,San Antonio,407,91,368,93,309,281,98,91,2,1
016901001,Lyndon B Johnson H S,016901,Johnson City ISD,016,Blanco County,13,Austin,66,97,0,100,20,18,46,46,2,1
016902001,Blanco H S,016902,Blanco ISD,016,Blanco County,13,Austin,76,96,25,92,30,28,46,45,2,1
017901001,Borden County School,017901,Borden County ISD,017,Borden County,17,Lubbock,22,100,0,0,0,0,0,0,1,1
018901001,Clifton H S,018901,Clifton ISD,018,Bosque County,12,Waco,75,100,18,100,32,32,43,43,1,1
018902001,Meridian H S,018902,Meridian ISD,018,Bosque County,12,Waco,28,100,8,100,15,15,13,13,1,1
018903001,Morgan School,018903,Morgan ISD,018,Bosque County,12,Waco,0,0,0,NA,0,0,0,0,1,1
018904001,Valley Mills H S,018904,Valley Mills ISD,018,Bosque County,12,Waco,72,97,21,95,39,39,33,31,1,1
018905003,Walnut Springs School,018905,Walnut Springs ISD,018,Bosque County,12,Waco,12,92,6,83,0,0,0,0,1,1
018906001,Iredell School,018906,Iredell ISD,018,Bosque County,12,Waco,7,100,0,0,0,0,0,0,1,1
018907001,Kopperl School,018907,Kopperl ISD,018,Bosque County,12,Waco,11,73,0,0,0,0,0,0,1,1
018908001,Cranfills Gap School,018908,Cranfills Gap ISD,018,Bosque County,12,Waco,9,100,0,0,0,0,0,0,1,1
019901001,Dekalb H S,019901,Dekalb ISD,019,Bowie County,08,Mt Pleasant,59,100,6,100,28,28,31,31,1,1
019902002,Hooks H S,019902,Hooks ISD,019,Bowie County,08,Mt Pleasant,75,99,6,100,38,38,37,36,1,1
019903001,Maud School,019903,Maud ISD,019,Bowie County,08,Mt Pleasant,31,100,0,0,16,16,15,15,1,1
019905001,New Boston H S,019905,New Boston ISD,019,Bowie County,08,Mt Pleasant,108,96,0,100,53,50,55,54,1,1
019906001,Redwater H S,019906,Redwater ISD,019,Bowie County,08,Mt Pleasant,88,97,7,100,29,28,59,57,1,1
019907002,Texas H S,019907,Texarkana ISD,019,Bowie County,08,Mt Pleasant,419,94,68,94,204,189,215,206,1,1
019907003,Options,019907,Texarkana ISD,019,Bowie County,08,Mt Pleasant,58,90,0,86,45,39,13,13,1,1
019908001,Liberty-Eylau H S,019908,Liberty-Eylau ISD,019,Bowie County,08,Mt Pleasant,149,93,0,78,113,103,36,36,1,1
019909001,James Bowie H S,019909,Simms ISD,019,Bowie County,08,Mt Pleasant,37,97,0,0,21,20,16,16,1,1
019912001,Pleasant Grove H S,019912,Pleasant Grove ISD,019,Bowie County,08,Mt Pleasant,155,97,13,100,38,34,117,116,1,1
020901001,Alvin H S,020901,Alvin ISD,020,Brazoria County,04,Houston,639,94,358,94,347,321,292,281,2,1
020901002,Manvel H S,020901,Alvin ISD,020,Brazoria County,04,Houston,447,95,171,92,241,226,206,198,2,1
020901005,Assets,020901,Alvin ISD,020,Brazoria County,04,Houston,36,100,0,100,28,28,8,8,2,1
020901006,Shadow Creek H S,020901,Alvin ISD,020,Brazoria County,04,Houston,618,97,165,97,233,221,385,381,2,1
020902001,Angleton H S,020902,Angleton ISD,020,Brazoria County,04,Houston,478,95,251,95,282,262,196,191,2,1
020904001,Danbury H S,020904,Danbury ISD,020,Brazoria County,04,Houston,65,94,0,83,10,7,55,54,2,1
020905001,Brazosport H S,020905,Brazosport ISD,020,Brazoria County,04,Houston,228,88,148,91,148,125,80,75,2,1
020905002,Brazoswood H S,020905,Brazosport ISD,020,Brazoria County,04,Houston,577,92,261,91,234,194,343,335,2,1
020905006,Brazos Success Academy,020905,Brazosport ISD,020,Brazoria County,04,Houston,78,72,53,72,54,34,24,22,2,1
020906002,Sweeny H S,020906,Sweeny ISD,020,Brazoria County,04,Houston,129,100,25,100,54,54,75,75,2,1
020907001,Columbia H S,020907,Columbia-Brazoria ISD,020,Brazoria County,04,Houston,206,95,50,100,102,95,104,101,2,1
020908001,Pearland H S,020908,Pearland ISD,020,Brazoria County,04,Houston,749,96,252,94,209,196,540,522,2,1
020908007,Glenda Dawson H S,020908,Pearland ISD,020,Brazoria County,04,Houston,633,99,141,99,122,119,511,505,2,1
020908009,Robert Turner College And Career H,020908,Pearland ISD,020,Brazoria County,04,Houston,286,99,118,98,78,76,208,207,2,1
021901001,A & M Cons H S,021901,College Station ISD,021,Brazos County,06,Huntsville,439,91,124,89,170,152,269,248,1,1
021901003,College Station H S,021901,College Station ISD,021,Brazos County,06,Huntsville,473,92,94,85,89,73,384,361,1,1
021902001,Travis B Bryan H S,021902,Bryan ISD,021,Brazos County,06,Huntsville,524,91,276,88,314,274,210,200,1,1
021902002,James Earl Rudder H S,021902,Bryan ISD,021,Brazos County,06,Huntsville,389,89,227,92,294,256,95,91,1,1
021902003,Bryan Collegiate H S,021902,Bryan ISD,021,Brazos County,06,Huntsville,81,99,60,98,50,49,31,31,1,1
021902017,The Mary Catherine Harris School-S,021902,Bryan ISD,021,Brazos County,06,Huntsville,145,58,88,68,101,68,44,16,1,1
022004001,Big Bend H S,022004,Terlingua CSD,022,Brewster County,18,Midland,9,100,9,100,0,0,0,0,1,1
022901001,Alpine H S,022901,Alpine ISD,022,Brewster County,18,Midland,70,97,46,96,23,22,47,46,1,1
022902001,Marathon Independent School Dist,022902,Marathon ISD,022,Brewster County,18,Midland,0,0,0,0,0,0,0,0,1,1
023902001,Silverton School,023902,Silverton ISD,023,Briscoe County,16,Amarillo,10,100,0,0,0,0,0,0,1,1
024901001,Falfurrias H S,024901,Brooks County ISD,024,Brooks County,01,Edinburg,91,92,0,92,59,54,32,30,1,1
025901001,Bangs H S,025901,Bangs ISD,025,Brown County,15,San Angelo,89,98,21,95,51,50,38,37,1,1
025902001,Brownwood H S,025902,Brownwood ISD,025,Brown County,15,San Angelo,206,97,75,99,90,86,116,113,1,1
025902003,Brownwood Accelerated H S,025902,Brownwood ISD,025,Brown County,15,San Angelo,20,85,10,90,11,10,9,7,1,1
025904001,Blanket School,025904,Blanket ISD,025,Brown County,15,San Angelo,13,92,0,0,0,0,0,0,1,1
025905001,May H S,025905,May ISD,025,Brown County,15,San Angelo,12,100,0,0,7,7,5,5,1,1
025906001,Zephyr School,025906,Zephyr ISD,025,Brown County,15,San Angelo,12,100,0,NA,5,5,7,7,1,1
025908001,Brookesmith School,025908,Brookesmith ISD,025,Brown County,15,San Angelo,14,100,0,0,5,5,9,9,1,1
025909001,Early H S,025909,Early ISD,025,Brown County,15,San Angelo,83,98,18,100,30,28,53,53,1,1
026901001,Caldwell H S,026901,Caldwell ISD,026,Burleson County,06,Huntsville,117,99,45,100,63,62,54,54,1,1
026902001,Somerville H S,026902,Somerville ISD,026,Burleson County,06,Huntsville,18,100,0,0,0,0,0,0,1,1
026903002,Snook Secondary,026903,Snook ISD,026,Burleson County,06,Huntsville,37,95,15,93,27,25,10,10,1,1
027903001,Burnet H S,027903,Burnet CISD,027,Burnet County,13,Austin,185,97,59,100,92,87,93,92,2,1
027903003,Quest H S,027903,Burnet CISD,027,Burnet County,13,Austin,42,98,6,100,32,31,10,10,2,1
027904001,Marble Falls H S,027904,Marble Falls ISD,027,Burnet County,13,Austin,268,97,129,96,153,149,115,112,2,1
027904002,Falls Career H S,027904,Marble Falls ISD,027,Burnet County,13,Austin,43,70,0,61,34,25,9,5,2,1
028902001,Lockhart H S,028902,Lockhart ISD,028,Caldwell County,13,Austin,357,93,258,93,192,175,165,158,2,1
028902038,Lockhart Pride H S,028902,Lockhart ISD,028,Caldwell County,13,Austin,44,75,28,82,33,24,11,9,2,1
028903001,Luling H S,028903,Luling ISD,028,Caldwell County,13,Austin,80,93,57,95,58,53,22,21,2,1
028906001,Prairie Lea School,028906,Prairie Lea ISD,028,Caldwell County,13,Austin,12,100,7,100,0,0,0,0,2,1
029901001,Calhoun H S,029901,Calhoun County ISD,029,Calhoun County,03,Victoria,269,97,162,98,108,101,161,159,1,1
029901003,Hope H S,029901,Calhoun County ISD,029,Calhoun County,03,Victoria,42,95,29,97,32,30,10,10,1,1
